date:,Time,Colony,Treatment,Bees,,,,,,,,,,,,,5762.62
2/25/2022,1,1,Vape,5762.62,,,,,,,,,,,,,
2/25/2022,1,2,Vape,4580.82,,,,,,,,,,,,,
2/25/2022,1,3,Vape,3112.9,,,,,,,,,,,,,
2/25/2022,1,4,Vape,5016.22,,,,,,,,,,,,,
2/25/2022,1,5,Vape,3486.1,,,,,,,,,,,,,
2/25/2022,1,6,Vape,2615.3,,,,,,,,,,,,,
2/25/2022,1,7,Vape,3274.62,,,,,,,,,,,,,
2/25/2022,1,8,Vape,4269.82,,,,,,,,,,,,,
2/25/2022,1,9,Vape,4643.02,,,,,,,,,,,,,
2/25/2022,1,10,Vape,8686.02,,,,,,,,,,,,,
2/25/2022,1,11,Dribble,5513.82,,,,,,,,,,,,,
2/25/2022,1,12,Dribble,3958.82,,,,,,,,,,,,,
2/25/2022,1,13,Dribble,9494.62,,,,,,,,,,,,,
2/25/2022,1,14,Dribble,2403.82,,,,,,,,,,,,,
2/25/2022,1,15,Dribble,2428.7,,,,,,,,,,,,,
2/25/2022,1,16,Dribble,3150.22,,,,,,,,,,,,,
2/25/2022,1,17,Dribble,3772.22,,,,,,,,,,,,,
2/25/2022,1,18,Dribble,3772.22,,,,,,,,,,,,,
2/25/2022,1,19,Dribble,1719.62,,,,,,,,,,,,,
2/25/2022,1,20,Dribble,3399.02,,,,,,,,,,,,,
2/25/2022,1,21,Control,4021.02,,,,,,,,,,,,,
2/25/2022,1,22,Control,7815.22,,,,,,,,,,,,,
2/25/2022,1,23,Control,4394.22,,,,,,,,,,,,,
2/25/2022,1,24,Control,4705.22,,,,,,,,,,,,,
2/25/2022,1,25,Control,4157.86,,,,,,,,,,,,,
2/25/2022,1,26,Control,5638.22,,,,,,,,,,,,,
2/25/2022,1,27,Control,2901.42,,,,,,,,,,,,,
2/25/2022,1,28,Control,5016.22,,,,,,,,,,,,,
2/25/2022,1,29,Control,2403.82,,,,,,,,,,,,,
2/25/2022,1,30,Control,6384.62,,,,,,,,,,,,,
2/25/2022,1,31,Fogger,2652.62,,,,,,,,,,,,,
2/25/2022,1,32,Fogger,2092.82,,,,,,,,,,,,,
2/25/2022,1,33,Fogger,5700.42,,,,,,,,,,,,,
2/25/2022,1,34,Fogger,6135.82,,,,,,,,,,,,,
2/25/2022,1,35,Fogger,4394.22,,,,,,,,,,,,,
2/25/2022,1,36,Fogger,6384.62,,,,,,,,,,,,,
2/25/2022,1,37,Fogger,3399.02,,,,,,,,,,,,,
2/25/2022,1,38,Fogger,3336.82,,,,,,,,,,,,,
2/25/2022,1,39,Fogger,1844.02,,,,,,,,,,,,,
2/25/2022,1,40,Fogger,4021.02,,,,,,,,,,,,,
3/21/2022,2,1,Vape,7442.02,,,,,,,,,,,,,
3/21/2022,2,2,Vape,6757.82,,,,,,,,,,,,,
3/21/2022,2,3,Vape,6011.42,,,,,,,,,,,,,
3/21/2022,2,4,Vape,7379.82,,,,,,,,,,,,,
3/21/2022,2,5,Vape,6260.22,,,,,,,,,,,,,
3/21/2022,2,6,Vape,,,,,,,,,,,,,,
3/21/2022,2,7,Vape,8064.02,,,,,,,,,,,,,
3/21/2022,2,8,Vape,6882.22,,,,,,,,,,,,,
3/21/2022,2,9,Vape,8001.82,,,,,,,,,,,,,
3/21/2022,2,10,Vape,8126.22,,,,,,,,,,,,,
3/21/2022,2,11,Dribble,5949.22,,,,,,,,,,,,,
3/21/2022,2,12,Dribble,7442.02,,,,,,,,,,,,,
3/21/2022,2,13,Dribble,6135.82,,,,,,,,,,,,,
3/21/2022,2,14,Dribble,2777.02,,,,,,,,,,,,,
3/21/2022,2,15,Dribble,4269.82,,,,,,,,,,,,,
3/21/2022,2,16,Dribble,,,,,,,,,,,,,,
3/21/2022,2,17,Dribble,4145.42,,,,,,,,,,,,,
3/21/2022,2,18,Dribble,6695.62,,,,,,,,,,,,,
3/21/2022,2,19,Dribble,4207.62,,,,,,,,,,,,,
3/21/2022,2,20,Dribble,,,,,,,,,,,,,,
3/21/2022,2,21,Control,6135.82,,,,,,,,,,,,,
3/21/2022,2,22,Control,7155.9,,,,,,,,,,,,,
3/21/2022,2,23,Control,4643.02,,,,,,,,,,,,,
3/21/2022,2,24,Control,4643.02,,,,,,,,,,,,,
3/21/2022,2,25,Control,6198.02,,,,,,,,,,,,,
3/21/2022,2,26,Control,6571.22,,,,,,,,,,,,,
3/21/2022,2,27,Control,3523.42,,,,,,,,,,,,,
3/21/2022,2,28,Control,4394.22,,,,,,,,,,,,,
3/21/2022,2,29,Control,2466.02,,,,,,,,,,,,,
3/21/2022,2,30,Control,4643.02,,,,,,,,,,,,,
3/21/2022,2,31,Fogger,4269.82,,,,,,,,,,,,,
3/21/2022,2,32,Fogger,1819.14,,,,,,,,,,,,,
3/21/2022,2,33,Fogger,5725.3,,,,,,,,,,,,,
3/21/2022,2,34,Fogger,6073.62,,,,,,,,,,,,,
3/21/2022,2,35,Fogger,5078.42,,,,,,,,,,,,,
3/21/2022,2,36,Fogger,6384.62,,,,,,,,,,,,,
3/21/2022,2,37,Fogger,6571.22,,,,,,,,,,,,,
3/21/2022,2,38,Fogger,3834.42,,,,,,,,,,,,,
3/21/2022,2,39,Fogger,,,,,,,,,,,,,,
3/21/2022,2,40,Fogger,2901.42,,,,,,,,,,,,,
