Colony,Treatment,Bees,Time,date
1,Vape,8,1,3/1/2022
2,Vape,16,1,3/1/2022
3,Vape,32,1,3/1/2022
4,Vape,5,1,3/1/2022
5,Vape,26,1,3/1/2022
6,Vape,14,1,3/1/2022
7,Vape,10,1,3/1/2022
8,Vape,48,1,3/1/2022
9,Vape,41,1,3/1/2022
10,Vape,20,1,3/1/2022
11,Dribble,16,1,3/1/2022
12,Dribble,12,1,3/1/2022
13,Dribble,53,1,3/1/2022
14,Dribble,10,1,3/1/2022
15,Dribble,6,1,3/1/2022
16,Dribble,23,1,3/1/2022
17,Dribble,30,1,3/1/2022
18,Dribble,41,1,3/1/2022
19,Dribble,18,1,3/1/2022
20,Dribble,9,1,3/1/2022
21,Control,6,1,3/1/2022
22,Control,12,1,3/1/2022
23,Control,15,1,3/1/2022
24,Control,22,1,3/1/2022
25,Control,45,1,3/1/2022
26,Control,31,1,3/1/2022
27,Control,17,1,3/1/2022
28,Control,19,1,3/1/2022
29,Control,5,1,3/1/2022
30,Control,12,1,3/1/2022
31,Fogger,24,1,3/1/2022
32,Fogger,15,1,3/1/2022
33,Fogger,10,1,3/1/2022
34,Fogger,38,1,3/1/2022
35,Fogger,42,1,3/1/2022
36,Fogger,8,1,3/1/2022
37,Fogger,19,1,3/1/2022
38,Fogger,21,1,3/1/2022
39,Fogger,3,1,3/1/2022
40,Fogger,44,1,3/1/2022
1,Vape,13,2,3/8/2022
2,Vape,7,2,3/8/2022
3,Vape,28,2,3/8/2022
4,Vape,32,2,3/8/2022
5,Vape,16,2,3/8/2022
6,Vape,5,2,3/8/2022
7,Vape,30,2,3/8/2022
8,Vape,21,2,3/8/2022
9,Vape,19,2,3/8/2022
10,Vape,4,2,3/8/2022
11,Dribble,40,2,3/8/2022
12,Dribble,26,2,3/8/2022
13,Dribble,10,2,3/8/2022
14,Dribble,16,2,3/8/2022
15,Dribble,9,2,3/8/2022
16,Dribble,24,2,3/8/2022
17,Dribble,28,2,3/8/2022
18,Dribble,18,2,3/8/2022
19,Dribble,12,2,3/8/2022
20,Dribble,,2,3/8/2022
21,Control,10,2,3/8/2022
22,Control,11,2,3/8/2022
23,Control,38,2,3/8/2022
24,Control,17,2,3/8/2022
25,Control,12,2,3/8/2022
26,Control,20,2,3/8/2022
27,Control,3,2,3/8/2022
28,Control,15,2,3/8/2022
29,Control,23,2,3/8/2022
30,Control,6,2,3/8/2022
31,Fogger,43,2,3/8/2022
32,Fogger,17,2,3/8/2022
33,Fogger,25,2,3/8/2022
34,Fogger,4,2,3/8/2022
35,Fogger,11,2,3/8/2022
36,Fogger,14,2,3/8/2022
37,Fogger,30,2,3/8/2022
38,Fogger,22,2,3/8/2022
39,Fogger,8,2,3/8/2022
40,Fogger,13,2,3/8/2022
1,Vape,4,3,3/15/2022
2,Vape,16,3,3/15/2022
3,Vape,3,3,3/15/2022
4,Vape,8,3,3/15/2022
5,Vape,23,3,3/15/2022
6,Vape,,3,3/15/2022
7,Vape,42,3,3/15/2022
8,Vape,6,3,3/15/2022
9,Vape,12,3,3/15/2022
10,Vape,15,3,3/15/2022
11,Dribble,8,3,3/15/2022
12,Dribble,23,3,3/15/2022
13,Dribble,14,3,3/15/2022
14,Dribble,4,3,3/15/2022
15,Dribble,8,3,3/15/2022
16,Dribble,16,3,3/15/2022
17,Dribble,25,3,3/15/2022
18,Dribble,10,3,3/15/2022
19,Dribble,32,3,3/15/2022
20,Dribble,,3,3/15/2022
21,Control,11,3,3/15/2022
22,Control,18,3,3/15/2022
23,Control,8,3,3/15/2022
24,Control,3,3,3/15/2022
25,Control,22,3,3/15/2022
26,Control,9,3,3/15/2022
27,Control,15,3,3/15/2022
28,Control,46,3,3/15/2022
29,Control,10,3,3/15/2022
30,Control,17,3,3/15/2022
31,Fogger,12,3,3/15/2022
32,Fogger,8,3,3/15/2022
33,Fogger,26,3,3/15/2022
34,Fogger,10,3,3/15/2022
35,Fogger,19,3,3/15/2022
36,Fogger,15,3,3/15/2022
37,Fogger,33,3,3/15/2022
38,Fogger,9,3,3/15/2022
39,Fogger,,3,3/15/2022
40,Fogger,14,3,3/15/2022
