Colony,Treatment,Bees,Mites,Per100,Time,gp. Avg,date:
1,Vape,150,31,20.66666667,1,9.242332371,2/25/2022
2,Vape,170,30,17.64705882,1,,2/25/2022
3,Vape,192,9,4.6875,1,,2/25/2022
4,Vape,129,4,3.100775194,1,,2/25/2022
5,Vape,218,9,4.128440367,1,,2/25/2022
6,Vape,159,11,6.918238994,1,,2/25/2022
7,Vape,171,5,2.923976608,1,,2/25/2022
8,Vape,158,14,8.860759494,1,,2/25/2022
9,Vape,155,21,13.5483871,1,,2/25/2022
10,Vape,171,17,9.941520468,1,,2/25/2022
11,Dribble,174,11,6.32183908,1,6.954613402,2/25/2022
12,Dribble,154,8,5.194805195,1,,2/25/2022
13,Dribble,154,9,5.844155844,1,,2/25/2022
14,Dribble,82,9,10.97560976,1,,2/25/2022
15,Dribble,157,13,8.280254777,1,,2/25/2022
16,Dribble,141,9,6.382978723,1,,2/25/2022
17,Dribble,141,7,4.964539007,1,,2/25/2022
18,Dribble,163,24,14.72392638,1,,2/25/2022
19,Dribble,101,6,5.940594059,1,,2/25/2022
20,Dribble,109,1,0.917431193,1,,2/25/2022
21,Control,162,5,3.086419753,1,5.442717633,2/25/2022
22,Control,175,11,6.285714286,1,,2/25/2022
23,Control,172,4,2.325581395,1,,2/25/2022
24,Control,154,20,12.98701299,1,,2/25/2022
25,Control,141,5,3.546099291,1,,2/25/2022
26,Control,168,6,3.571428571,1,,2/25/2022
27,Control,141,7,4.964539007,1,,2/25/2022
28,Control,195,11,5.641025641,1,,2/25/2022
29,Control,71,2,2.816901408,1,,2/25/2022
30,Control,163,15,9.202453988,1,,2/25/2022
31,Fogger,153,6,3.921568627,1,4.884432729,2/25/2022
32,Fogger,124,6,4.838709677,1,,2/25/2022
33,Fogger,178,11,6.179775281,1,,2/25/2022
34,Fogger,157,22,14.01273885,1,,2/25/2022
35,Fogger,127,5,3.937007874,1,,2/25/2022
36,Fogger,124,5,4.032258065,1,,2/25/2022
37,Fogger,102,7,6.862745098,1,,2/25/2022
38,Fogger,112,3,2.678571429,1,,2/25/2022
39,Fogger,91,0,0,1,,2/25/2022
40,Fogger,126,3,2.380952381,1,,2/25/2022
1,Vape,240,2,0.833333333,2,3.254429228,3/21/2022
2,Vape,271,9,3.32103321,2,,3/21/2022
3,Vape,245,5,2.040816327,2,,3/21/2022
4,Vape,267,6,2.247191011,2,,3/21/2022
5,Vape,265,4,1.509433962,2,,3/21/2022
6,Vape,,,,2,,3/21/2022
7,Vape,292,4,1.369863014,2,,3/21/2022
8,Vape,255,15,5.882352941,2,,3/21/2022
9,Vape,295,19,6.440677966,2,,3/21/2022
10,Vape,248,14,5.64516129,2,,3/21/2022
11,Dribble,325,3,0.923076923,2,3.302560548,3/21/2022
12,Dribble,245,6,2.448979592,2,,3/21/2022
13,Dribble,171,14,8.187134503,2,,3/21/2022
14,Dribble,317,4,1.261829653,2,,3/21/2022
15,Dribble,271,25,9.225092251,2,,3/21/2022
16,Dribble,210,0,0,2,,3/21/2022
17,Dribble,254,10,3.937007874,2,,3/21/2022
18,Dribble,304,10,3.289473684,2,,3/21/2022
19,Dribble,222,1,0.45045045,2,,3/21/2022
20,Dribble,,,,2,,3/21/2022
21,Control,241,13,5.394190871,2,5.838249924,3/21/2022
22,Control,252,10,3.968253968,2,,3/21/2022
23,Control,188,8,4.255319149,2,,3/21/2022
24,Control,263,27,10.2661597,2,,3/21/2022
25,Control,217,23,10.59907834,2,,3/21/2022
26,Control,237,7,2.953586498,2,,3/21/2022
27,Control,213,17,7.981220657,2,,3/21/2022
28,Control,228,23,10.0877193,2,,3/21/2022
29,Control,181,3,1.657458564,2,,3/21/2022
30,Control,164,2,1.219512195,2,,3/21/2022
31,Fogger,253,12,4.743083004,2,5.417875108,3/21/2022
32,Fogger,305,26,8.524590164,2,,3/21/2022
33,Fogger,262,21,8.015267176,2,,3/21/2022
34,Fogger,304,35,11.51315789,2,,3/21/2022
35,Fogger,285,15,5.263157895,2,,3/21/2022
36,Fogger,283,6,2.120141343,2,,3/21/2022
37,Fogger,286,12,4.195804196,2,,3/21/2022
38,Fogger,287,6,2.090592334,2,,3/21/2022
39,Fogger,,,,2,,3/21/2022
40,Fogger,305,7,2.295081967,2,,3/21/2022
